id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2019-970178,2019-02-22,1,Vente,150000,19,,RUE DES FERMES,960,64700,64260,Hendaye,64,,,64260000AM0258,,,2,32.25,,,,,,,,,1,2,Appartement,33.00,2,,,,,,-1.7696290,43.3604140,000AM
2019-970180,2019-02-20,1,Vente,230000,9,,RUE DE LA LIBERATION,1360,64700,64260,Hendaye,64,,,64260000AN0416,,,16,69.07,,,,,,,,,1,2,Appartement,53.00,2,,,,,,-1.7762350,43.3558340,000AN
2019-970182,2019-03-05,1,Vente,343000,11,,RUE ERDIKOA,853,64700,64260,Hendaye,64,,,64260000AE0627,,,1,87.39,,,,,,,,,1,1,Maison,134.00,5,,,,,,-1.7620250,43.3592620,000AE
2019-970183,2019-03-05,1,Vente,390000,8,,BD DE L EMPEREUR,840,64700,64260,Hendaye,64,,,64260000AE0413,,,,,,,,,,,,,0,1,Maison,120.00,6,S,sols,,,605.00,-1.7666710,43.3557410,000AE
2019-970184,2019-03-06,1,Vente,230000,58,,BD DU GENERAL LECLERC,1100,64700,64260,Hendaye,64,,,64260000AV0179,,,69,41.94,,,,,,,,,1,2,Appartement,46.00,2,,,,,,-1.7726640,43.3713170,000AV
2019-970186,2019-02-27,1,Vente,12776,9001,,RES ASCOUBIA I,A010,64700,64260,Hendaye,64,,,64260000AB0491,,,22,,,,,,,,,,1,2,Appartement,29.00,2,,,,,,-1.7437100,43.3727200,000AB
2019-970189,2019-03-04,1,Vente,107000,7,,RUE DES CHENES,570,64700,64260,Hendaye,64,,,64260000AK0130,,,10,,6,40.41,7,,8,,9,,5,2,Appartement,40.00,2,,,,,,-1.7790710,43.3508220,000AK
2019-970196,2019-03-08,1,Vente,210000,14,,RUE DE BARRANDEGUY,265,64700,64260,Hendaye,64,,,64260000AN0309,,,7,92.99,8,,,,,,,,2,2,Appartement,105.00,5,,,,,,-1.7713870,43.3548160,000AN
2019-970197,2019-03-11,1,Vente,380000,3,,RUE DE SAINT JEAN DE LUZ,2010,64700,64260,Hendaye,64,,,64260000AT0003,,,53,72.53,,,,,,,,,1,2,Appartement,70.00,4,,,,,,-1.7684710,43.3738230,000AT
2019-970198,2019-03-14,1,Vente,280600,40,,RUE BIGARENA,420,64700,64260,Hendaye,64,,,64260000AK0379,,,23,92.45,,,,,,,,,1,2,Appartement,90.00,4,,,,,,-1.7741180,43.3503760,000AK
2019-970205,2019-03-01,1,Vente,155000,1,,RUE GASCONENIA,1070,64700,64260,Hendaye,64,,,64260000AC0155,,,8,33.96,,,,,,,,,1,2,Appartement,35.00,1,,,,,,-1.7554310,43.3737580,000AC
2019-970208,2019-03-05,1,Vente,126000,19,,RUE D IRUN,1210,64700,64260,Hendaye,64,,,64260000AV0418,,,160,42.82,197,,,,,,,,2,2,Appartement,43.00,2,,,,,,-1.7729710,43.3729960,000AV
2019-970212,2019-03-04,1,Vente,159630,39,,BD DE LA MER,1490,64700,64260,Hendaye,64,,,64260000AT0002,,,47,28.02,,,,,,,,,1,2,Appartement,28.00,1,,,,,,-1.7685900,43.3740910,000AT
2019-970217,2019-03-18,1,Vente,147660,48,,RUE DE SUBERNOA,2110,64700,64260,Hendaye,64,,,64260000AO0027,,,123,44.50,,,,,,,,,1,2,Appartement,44.00,2,,,,,,-1.7669120,43.3593450,000AO
2019-970222,2019-03-13,1,Vente,1,6,,RUE DU COMMERCE,680,64700,64260,Hendaye,64,,,64260000AL0099,,,6,,,,,,,,,,1,2,Appartement,137.00,3,,,,,,-1.7761500,43.3540010,000AL
2019-970227,2019-02-21,1,Vente,45600,9,,RUE DES RESERVOIRS,1940,64700,64260,Hendaye,64,,,64260000AN0347,,,3,,,,,,,,,,1,2,Appartement,33.00,2,,,,,,-1.7706880,43.3541250,000AN
2019-970228,2019-03-07,1,Vente,279000,27,,RUE D ORIO,1651,64700,64260,Hendaye,64,,,64260000AD0871,,,101,77.65,,,,,,,,,1,2,Appartement,85.00,3,,,,,,-1.7558670,43.3616120,000AD
2019-970229,2019-03-05,1,Vente,700000,6,,RUE DES ABELIAS,12,64700,64260,Hendaye,64,,,64260000AT0275,,,,,,,,,,,,,0,1,Maison,98.00,4,S,sols,,,198.00,-1.7659520,43.3710410,000AT
2019-970231,2019-03-11,1,Vente,115000,2,,RUE MARIGORRI,1452,64700,64260,Hendaye,64,,,64260000AO0480,,,113,32.23,,,,,,,,,1,2,Appartement,33.00,2,,,,,,-1.7634800,43.3607260,000AO
2019-970232,2019-03-04,1,Vente,385000,39,,BD DE LA MER,1490,64700,64260,Hendaye,64,,,64260000AT0002,,,59,83.11,,,,,,,,,1,2,Appartement,83.00,3,,,,,,-1.7685900,43.3740910,000AT
